backbone,dataset,method,axis,n,seeds,balanced_accuracy_mean,balanced_accuracy_sd,cohen_kappa_mean,cohen_kappa_sd,macro_f1_mean,macro_f1_sd,weighted_f1_mean,weighted_f1_sd,trainable_parameters_mean,trainable_parameters_sd,selected_epoch_mean,selected_epoch_sd
LaBraM,PhysioNet-MI,frozen_native_generic,generic,3,"42,1024,3407",0.2698991211932244,0.0013837926360325081,0.026645113840279826,0.0018522924371916474,,,0.2579724955496814,0.0008587132994566985,27069.0,0.0,20.0,0.0
LaBraM,PhysioNet-MI,frozen_probe,none,3,"42,1024,3407",0.26938285522688343,0.0005333684689070096,0.025903300245300038,0.0007223179072519095,,,0.26176803518297703,0.004921453608360018,804.0,0.0,21.0,1.7320508075688772
LaBraM,PhysioNet-MI,lora,qkv,3,"42,1024,3407",0.5435281707250879,0.025101233745700998,0.39132021656493615,0.03346812167249926,,,0.5437051645101826,0.026720897214694762,77604.0,0.0,29.333333333333332,4.041451884327381
LaBraM,PhysioNet-MI,native_channel,channel,3,"42,1024,3407",0.6153335638828356,0.012284353278062673,0.48687584804569517,0.016476292215776893,,,0.6158716113371522,0.012404478171496508,5863645.0,0.0,13.0,3.4641016151377544
LaBraM,PhysioNet-MI,native_channel_patch,channel_patch,3,"42,1024,3407",0.6252617228681755,0.008173773094238421,0.5001566286649675,0.010875277629986307,,,0.6266840998928171,0.009319683985159578,5906550.0,0.0,11.666666666666666,3.0550504633038935
LaBraM,PhysioNet-MI,native_patch,patch,3,"42,1024,3407",0.6255745237600068,0.010008614271620565,0.500627483672168,0.013416763904307237,,,0.6268976431858022,0.01150968733830019,5863645.0,0.0,9.666666666666666,1.1547005383792515
LaBraM,PhysioNet-MI,upper2,upper,3,"42,1024,3407",0.5155599567013308,0.020187622925858965,0.3539516579929076,0.02694525859783833,,,0.5144516833319278,0.020962376964168725,966164.0,0.0,18.0,9.643650760992955
LaBraM,SEED-V,dense,none,3,"42,1024,3407",0.4067304021134305,0.004889381596765616,0.25859941563155775,0.008221356250826893,,,0.4104588528489061,0.006449525870272569,5820941.0,0.0,23.333333333333332,4.041451884327381
LaBraM,SEED-V,frozen_native_generic,generic,3,"42,1024,3407",0.2953789738407042,0.0009067279881230461,0.11565367394521249,0.0011206011973067418,,,0.2807447271280004,0.0014816999670611802,27270.0,0.0,28.0,0.0
LaBraM,SEED-V,lora,qkv,3,"42,1024,3407",0.28564779613186764,0.003658378973236339,0.10796142536207613,0.005263186714436223,,,0.2786963026706512,0.007117930863302335,77805.0,0.0,31.333333333333332,2.8867513459481287
LaBraM,SEED-V,upper2,upper,3,"42,1024,3407",0.3858627514482355,0.0041267570702310215,0.23444362789004694,0.005425491109527298,,,0.39373705866991354,0.005259515228703631,966365.0,0.0,31.0,1.7320508075688772
LaBraM,TUEV,axis_blind,generic_token_control,3,"42,1024,3407",0.4307415889769473,0.0009546153060217192,0.5269010351372246,0.0014949916796410674,,,0.7522697471800219,0.0008424657853742578,87220.0,0.0,5.0,0.0
LaBraM,TUEV,dense,none,3,"42,1024,3407",0.5865166030701923,0.012005859813107398,0.6125520808678814,0.014673185009537999,,,0.7966837549276519,0.00809736534898016,5821142.0,0.0,1.6666666666666667,1.1547005383792515
LaBraM,TUEV,frozen_native_channel,channel,3,"42,1024,3407",0.43230774655326004,0.018567520429004596,0.46019095960306594,0.030918229684646435,,,0.712795795819605,0.020738509979441773,44111.0,0.0,6.666666666666667,2.309401076758503
LaBraM,TUEV,frozen_native_channel_patch,channel_patch,3,"42,1024,3407",0.3916091186724216,0.01824372336706412,0.4612460221313262,0.047096915421476086,,,0.713140434176896,0.025849208731980277,87016.0,0.0,6.333333333333333,4.163331998932265
LaBraM,TUEV,frozen_native_generic,generic,3,"42,1024,3407",0.4366545837589535,0.012591261653321379,0.5151733478737468,0.013525673221881128,,,0.7457375431003384,0.006759409211066533,27471.0,0.0,7.0,1.7320508075688772
LaBraM,TUEV,frozen_native_patch,patch,3,"42,1024,3407",0.39875710774029066,0.018246413328162573,0.49067589862419286,0.009023480650418438,,,0.7322332337941673,0.005283791025619463,44111.0,0.0,5.333333333333333,2.516611478423583
LaBraM,TUEV,frozen_probe,none,3,"42,1024,3407",0.3657863675540372,0.0,0.44681521755643017,0.0,,,0.7084236754238097,0.0,1206.0,0.0,8.0,0.0
LaBraM,TUEV,lora,qkv,3,"42,1024,3407",0.5716697482007698,0.02294997238594616,0.5812896234160146,0.018330775543948602,,,0.7827892641771527,0.007287222594184466,78006.0,0.0,6.333333333333333,1.5275252316519468
LaBraM,TUEV,native_channel,channel,3,"42,1024,3407",0.5960765441238928,0.0083481095258008,0.5768809864017418,0.00799401437175777,,,0.7804531256732469,0.005701772904272717,5864047.0,0.0,3.6666666666666665,3.0550504633038935
LaBraM,TUEV,native_channel_patch,channel_patch,3,"42,1024,3407",0.5836555927861788,0.022298636973218464,0.5309762454480661,0.02887959964543506,,,0.7494990884751305,0.01605545322206038,5906952.0,0.0,2.3333333333333335,2.309401076758503
LaBraM,TUEV,native_patch,patch,3,"42,1024,3407",0.5794860026740587,0.06368549586917259,0.5793864020809747,0.04550899214786448,,,0.7827281332875016,0.022974430618183477,5864047.0,0.0,5.666666666666667,4.041451884327381
LaBraM,TUEV,upper2,upper,3,"42,1024,3407",0.5412442093173602,0.020359410873853956,0.5637829379966947,0.042299214278663795,,,0.7728780961150581,0.01975270771551935,966566.0,0.0,2.0,1.7320508075688772
